ID;Category;Performed;Name;primaryProfession
nm0000616;actor;171;Eric Roberts;actor,producer,soundtrack
nm2794335;actor;99;Sadhu Kokila;actor,composer,director
nm0103977;actor;92;Brahmanandam;actor,music_department,soundtrack
nm6489058;actor;80;Yogi Babu;actor
nm0001744;actor;74;Tom Sizemore;actor,producer,writer
nm0695177;actor;73;Prakash Raj;actor,producer,director
nm0043199;actor;71;Avinash;actor,visual_effects,camera_department
nm1894124;actor;69;Seiji Nakamitsu;actor
nm5724719;actor;68;Achyuth Kumar;actor
nm0154164;actor;68;Soumitra Chatterjee;actor
